AMER3,2016-09-20,16.168976,16.352385,15.773197,15.831116,15.831116,642279
GOLL4,2013-08-23,8.730000,9.030000,8.600000,8.920000,8.920000,2240300
CPFE3,2011-07-18,21.024330,21.251211,20.778542,20.901436,13.877651,412444
BBDC4,2018-06-29,20.174242,20.477272,19.969696,20.378786,17.518974,19636584
BBSE3,2021-03-30,24.049999,24.959999,23.959999,24.780001,24.780001,5407300
LCAM3,2015-03-10,1.066666,1.066666,0.996666,0.996666,0.751892,361500
CCRO3,2013-10-09,18.030001,18.030001,17.620001,18.030001,13.212163,4966700
SANB4,2011-08-25,7.349926,7.874921,6.824932,6.824932,3.963246,85842
BBDC3,2013-09-05,13.470779,13.719602,13.453619,13.676702,9.854503,6508304
JBSS3,2016-08-17,11.000000,11.000000,10.610000,11.000000,10.315676,9523900
RADL3,2017-09-25,15.100000,15.100000,14.726000,14.846000,14.422037,2235500
BRML3,2010-08-11,8.558528,8.662207,8.461538,8.568561,7.183861,1331746
PRIO3,2015-09-15,0.188000,0.210000,0.188000,0.208000,0.208000,1323000
ELET3,2017-04-10,15.883964,15.883964,15.194226,15.374157,12.476427,1217762
GOAU4,2019-05-07,6.770000,6.770000,6.630000,6.720000,6.371602,7181500
CCRO3,2014-11-26,17.100000,17.780001,17.000000,17.670000,13.546880,4068000
CIEL3,2012-08-15,14.549575,14.660493,14.392843,14.542341,10.325311,7452103
KLBN11,2017-04-18,14.820000,15.040000,14.750000,14.900000,13.043999,1222200
PETR3,2018-02-16,21.000000,21.049999,20.610001,20.719999,18.789541,7112100
KLBN11,2019-03-15,17.680000,17.820000,17.610001,17.770000,16.883478,829900